Driver,LapNumber,LapTime,Compound,TyreLife,Position
NOR,1.0,0 days 00:01:30.629000,MEDIUM,1.0,8.0
NOR,2.0,0 days 00:01:20.684000,MEDIUM,2.0,8.0
NOR,3.0,0 days 00:01:20.195000,MEDIUM,3.0,8.0
NOR,4.0,0 days 00:01:19.491000,MEDIUM,4.0,8.0
NOR,5.0,0 days 00:01:18.988000,MEDIUM,5.0,8.0
NOR,6.0,0 days 00:01:18.233000,MEDIUM,6.0,8.0
NOR,7.0,0 days 00:01:18.243000,MEDIUM,7.0,8.0
NOR,8.0,0 days 00:01:18.079000,MEDIUM,8.0,8.0
NOR,9.0,0 days 00:01:18.059000,MEDIUM,9.0,8.0
NOR,10.0,0 days 00:01:18.628000,MEDIUM,10.0,8.0
NOR,11.0,0 days 00:01:18.413000,MEDIUM,11.0,8.0
NOR,12.0,0 days 00:01:17.722000,MEDIUM,12.0,8.0
NOR,13.0,0 days 00:01:18.391000,MEDIUM,13.0,8.0
NOR,14.0,0 days 00:01:18.170000,MEDIUM,14.0,8.0
NOR,15.0,0 days 00:01:18.623000,MEDIUM,15.0,8.0
NOR,16.0,0 days 00:01:18.638000,MEDIUM,16.0,8.0
NOR,17.0,0 days 00:01:18.742000,MEDIUM,17.0,8.0
NOR,18.0,0 days 00:01:18.994000,MEDIUM,18.0,8.0
NOR,19.0,0 days 00:01:18.706000,MEDIUM,19.0,8.0
NOR,20.0,0 days 00:01:18.312000,MEDIUM,20.0,8.0
NOR,21.0,0 days 00:01:19.066000,MEDIUM,21.0,8.0
NOR,22.0,0 days 00:01:17.925000,MEDIUM,22.0,8.0
NOR,23.0,0 days 00:01:18.249000,MEDIUM,23.0,8.0
NOR,24.0,0 days 00:01:18.676000,MEDIUM,24.0,8.0
NOR,25.0,0 days 00:01:18.316000,MEDIUM,25.0,8.0
NOR,26.0,0 days 00:01:18.478000,MEDIUM,26.0,8.0
NOR,27.0,0 days 00:01:18.376000,MEDIUM,27.0,8.0
NOR,28.0,0 days 00:01:18.464000,MEDIUM,28.0,8.0
NOR,29.0,0 days 00:01:18.198000,MEDIUM,29.0,8.0
NOR,30.0,0 days 00:01:18.321000,MEDIUM,30.0,8.0
NOR,31.0,0 days 00:01:18.300000,MEDIUM,31.0,7.0
NOR,32.0,0 days 00:01:18.189000,MEDIUM,32.0,6.0
NOR,33.0,0 days 00:01:20.230000,MEDIUM,33.0,6.0
NOR,34.0,0 days 00:01:17.670000,MEDIUM,34.0,6.0
NOR,35.0,0 days 00:01:17.833000,MEDIUM,35.0,6.0
NOR,36.0,0 days 00:01:18.224000,MEDIUM,36.0,6.0
NOR,37.0,0 days 00:01:18.739000,MEDIUM,37.0,6.0
NOR,38.0,0 days 00:01:19.008000,MEDIUM,38.0,6.0
NOR,39.0,0 days 00:01:19.311000,MEDIUM,39.0,6.0
NOR,40.0,0 days 00:01:18.948000,MEDIUM,40.0,6.0
NOR,41.0,0 days 00:01:20.881000,MEDIUM,41.0,6.0
NOR,42.0,0 days 00:01:20.144000,MEDIUM,42.0,6.0
NOR,43.0,0 days 00:01:19.223000,MEDIUM,43.0,6.0
NOR,44.0,,MEDIUM,44.0,6.0
GAS,1.0,0 days 00:01:30.105000,MEDIUM,1.0,7.0
GAS,2.0,0 days 00:01:20.715000,MEDIUM,2.0,7.0
GAS,3.0,0 days 00:01:20.073000,MEDIUM,3.0,7.0
GAS,4.0,0 days 00:01:19.124000,MEDIUM,4.0,7.0
GAS,5.0,0 days 00:01:19.092000,MEDIUM,5.0,7.0
GAS,6.0,0 days 00:01:18.305000,MEDIUM,6.0,7.0
GAS,7.0,0 days 00:01:18.580000,MEDIUM,7.0,7.0
GAS,8.0,0 days 00:01:17.946000,MEDIUM,8.0,7.0
GAS,9.0,0 days 00:01:18.130000,MEDIUM,9.0,7.0
GAS,10.0,0 days 00:01:18.040000,MEDIUM,10.0,7.0
GAS,11.0,0 days 00:01:18.404000,MEDIUM,11.0,7.0
GAS,12.0,0 days 00:01:18.358000,MEDIUM,12.0,7.0
GAS,13.0,0 days 00:01:18.333000,MEDIUM,13.0,7.0
GAS,14.0,0 days 00:01:18.204000,MEDIUM,14.0,7.0
GAS,15.0,0 days 00:01:18.092000,MEDIUM,15.0,7.0
GAS,16.0,0 days 00:01:19.128000,MEDIUM,16.0,7.0
GAS,17.0,0 days 00:01:18.782000,MEDIUM,17.0,7.0
GAS,18.0,0 days 00:01:19.055000,MEDIUM,18.0,7.0
GAS,19.0,0 days 00:01:18.687000,MEDIUM,19.0,7.0
GAS,20.0,0 days 00:01:18.231000,MEDIUM,20.0,7.0
GAS,21.0,0 days 00:01:18.386000,MEDIUM,21.0,7.0
GAS,22.0,0 days 00:01:18.475000,MEDIUM,22.0,7.0
GAS,23.0,0 days 00:01:18.461000,MEDIUM,23.0,7.0
GAS,24.0,0 days 00:01:18.520000,MEDIUM,24.0,7.0
GAS,25.0,0 days 00:01:18.386000,MEDIUM,25.0,7.0
GAS,26.0,0 days 00:01:18.461000,MEDIUM,26.0,7.0
GAS,27.0,0 days 00:01:18.521000,MEDIUM,27.0,7.0
GAS,28.0,0 days 00:01:18.596000,MEDIUM,28.0,7.0
GAS,29.0,0 days 00:01:18.056000,MEDIUM,29.0,7.0
GAS,30.0,0 days 00:01:18.178000,MEDIUM,30.0,7.0
GAS,31.0,0 days 00:01:18.360000,MEDIUM,31.0,6.0
GAS,32.0,0 days 00:01:18.029000,MEDIUM,32.0,5.0
GAS,33.0,0 days 00:01:18.807000,MEDIUM,33.0,5.0
GAS,34.0,0 days 00:01:18.659000,MEDIUM,34.0,5.0
GAS,35.0,0 days 00:01:18.332000,MEDIUM,35.0,5.0
GAS,36.0,0 days 00:01:18.178000,MEDIUM,36.0,5.0
GAS,37.0,0 days 00:01:18.949000,MEDIUM,37.0,5.0
GAS,38.0,0 days 00:01:19.068000,MEDIUM,38.0,5.0
GAS,39.0,0 days 00:01:19.227000,MEDIUM,39.0,5.0
GAS,40.0,0 days 00:01:19.024000,MEDIUM,40.0,5.0
GAS,41.0,0 days 00:01:18.934000,MEDIUM,41.0,5.0
GAS,42.0,0 days 00:01:18.656000,MEDIUM,42.0,5.0
GAS,43.0,0 days 00:01:18.909000,MEDIUM,43.0,5.0
GAS,44.0,0 days 00:01:18.777000,MEDIUM,44.0,5.0
GAS,45.0,0 days 00:01:37.189000,MEDIUM,45.0,7.0
GAS,46.0,0 days 00:01:23.643000,HARD,1.0,7.0
GAS,47.0,0 days 00:01:18.675000,HARD,2.0,7.0
GAS,48.0,0 days 00:01:18.218000,HARD,3.0,7.0
GAS,49.0,0 days 00:01:20.722000,HARD,4.0,7.0
GAS,50.0,0 days 00:01:18.925000,HARD,5.0,7.0
GAS,51.0,0 days 00:01:19.348000,HARD,6.0,7.0
GAS,52.0,0 days 00:01:17.950000,HARD,7.0,7.0
GAS,53.0,0 days 00:01:17.055000,HARD,8.0,7.0
GAS,54.0,0 days 00:01:17.287000,HARD,9.0,7.0
GAS,55.0,0 days 00:01:17.126000,HARD,10.0,7.0
GAS,56.0,0 days 00:01:17.509000,HARD,11.0,7.0
GAS,57.0,0 days 00:01:17.963000,HARD,12.0,7.0
GAS,58.0,0 days 00:01:17.612000,HARD,13.0,7.0
GAS,59.0,0 days 00:01:39.182000,HARD,14.0,6.0
GAS,60.0,0 days 00:01:53.136000,HARD,15.0,6.0
GAS,61.0,0 days 00:01:33.183000,HARD,16.0,6.0
GAS,62.0,0 days 00:01:58.441000,HARD,17.0,6.0
GAS,63.0,0 days 00:01:32.959000,HARD,18.0,6.0
GAS,64.0,0 days 00:01:24.677000,HARD,19.0,6.0
GAS,65.0,0 days 00:01:21.810000,HARD,20.0,5.0
GAS,66.0,0 days 00:01:54.401000,HARD,21.0,5.0
GAS,67.0,0 days 00:01:46.410000,HARD,22.0,5.0
GAS,68.0,,HARD,23.0,5.0
GAS,69.0,0 days 00:01:36.522000,SOFT,5.0,5.0
GAS,70.0,,SOFT,6.0,5.0
GAS,71.0,0 days 00:01:26.190000,SOFT,7.0,4.0
GAS,72.0,0 days 00:01:17.461000,SOFT,8.0,3.0
GAS,73.0,0 days 00:01:16.054000,SOFT,9.0,3.0
GAS,74.0,0 days 00:01:16.599000,SOFT,10.0,3.0
GAS,75.0,0 days 00:01:16.296000,SOFT,11.0,3.0
GAS,76.0,0 days 00:01:15.899000,SOFT,12.0,3.0
GAS,77.0,0 days 00:01:15.497000,SOFT,13.0,3.0
GAS,78.0,0 days 00:01:15.881000,SOFT,14.0,3.0
PER,1.0,0 days 00:01:35.173000,SOFT,1.0,14.0
PER,2.0,0 days 00:01:21.504000,SOFT,2.0,14.0
PER,3.0,0 days 00:01:20.479000,SOFT,3.0,14.0
PER,4.0,0 days 00:01:40.066000,SOFT,4.0,16.0
PER,5.0,0 days 00:01:22.032000,MEDIUM,1.0,16.0
PER,6.0,0 days 00:01:19.524000,MEDIUM,2.0,16.0
PER,7.0,0 days 00:01:17.890000,MEDIUM,3.0,16.0
PER,8.0,0 days 00:01:18.694000,MEDIUM,4.0,16.0
PER,9.0,0 days 00:01:31.503000,MEDIUM,5.0,18.0
PER,10.0,0 days 00:01:22.204000,MEDIUM,6.0,18.0
PER,11.0,0 days 00:01:18.736000,MEDIUM,7.0,18.0
PER,12.0,0 days 00:01:21.649000,MEDIUM,8.0,18.0
PER,13.0,0 days 00:01:20.223000,MEDIUM,9.0,18.0
PER,14.0,0 days 00:01:18.510000,MEDIUM,10.0,18.0
PER,15.0,0 days 00:01:20.811000,MEDIUM,11.0,18.0
PER,16.0,0 days 00:01:18.578000,MEDIUM,12.0,18.0
PER,17.0,0 days 00:01:19.129000,MEDIUM,13.0,18.0
PER,18.0,0 days 00:01:18.700000,MEDIUM,14.0,18.0
PER,19.0,0 days 00:01:18.907000,MEDIUM,15.0,18.0
PER,20.0,0 days 00:01:18.930000,MEDIUM,16.0,18.0
PER,21.0,0 days 00:01:19.091000,MEDIUM,17.0,18.0
PER,22.0,0 days 00:01:20.559000,MEDIUM,18.0,18.0
PER,23.0,0 days 00:01:19.500000,MEDIUM,19.0,18.0
PER,24.0,0 days 00:01:19.325000,MEDIUM,20.0,18.0
PER,25.0,0 days 00:01:19.538000,MEDIUM,21.0,18.0
PER,26.0,0 days 00:01:18.698000,MEDIUM,22.0,18.0
PER,27.0,0 days 00:01:18.770000,MEDIUM,23.0,18.0
PER,28.0,0 days 00:01:18.848000,MEDIUM,24.0,18.0
PER,29.0,0 days 00:01:18.872000,MEDIUM,25.0,18.0
PER,30.0,0 days 00:01:18.903000,MEDIUM,26.0,18.0
PER,31.0,0 days 00:01:19.338000,MEDIUM,27.0,18.0
PER,32.0,0 days 00:01:19.656000,MEDIUM,28.0,18.0
PER,33.0,0 days 00:01:19.917000,MEDIUM,29.0,18.0
PER,34.0,0 days 00:01:19.981000,MEDIUM,30.0,18.0
PER,35.0,0 days 00:01:21.476000,MEDIUM,31.0,18.0
PER,36.0,0 days 00:01:19.751000,MEDIUM,32.0,18.0
PER,37.0,0 days 00:01:19.799000,MEDIUM,33.0,18.0
PER,38.0,0 days 00:01:19.370000,MEDIUM,34.0,18.0
PER,39.0,0 days 00:01:21.687000,MEDIUM,35.0,18.0
PER,40.0,0 days 00:01:22.330000,MEDIUM,36.0,18.0
PER,41.0,0 days 00:01:20.839000,MEDIUM,37.0,18.0
PER,42.0,0 days 00:01:22.094000,MEDIUM,38.0,18.0
PER,43.0,0 days 00:01:21.039000,MEDIUM,39.0,18.0
PER,44.0,0 days 00:01:21.217000,MEDIUM,40.0,18.0
PER,45.0,0 days 00:01:19.567000,MEDIUM,41.0,17.0
PER,46.0,0 days 00:01:19.155000,MEDIUM,42.0,17.0
PER,47.0,0 days 00:01:19.032000,MEDIUM,43.0,17.0
PER,48.0,0 days 00:01:21.387000,MEDIUM,44.0,17.0
PER,49.0,0 days 00:01:20.917000,MEDIUM,45.0,17.0
PER,50.0,0 days 00:01:21.591000,MEDIUM,46.0,17.0
PER,51.0,0 days 00:01:22.941000,MEDIUM,47.0,17.0
PER,52.0,0 days 00:01:20.832000,MEDIUM,48.0,17.0
PER,53.0,0 days 00:01:20.833000,MEDIUM,49.0,17.0
PER,54.0,0 days 00:01:20.051000,MEDIUM,50.0,17.0
PER,55.0,0 days 00:01:21.863000,MEDIUM,51.0,17.0
PER,56.0,0 days 00:01:19.824000,MEDIUM,52.0,17.0
PER,57.0,0 days 00:01:21.055000,MEDIUM,53.0,16.0
PER,58.0,0 days 00:01:48.502000,MEDIUM,54.0,16.0
PER,59.0,0 days 00:01:57.191000,MEDIUM,55.0,16.0
PER,60.0,0 days 00:01:35.590000,SOFT,1.0,16.0
PER,61.0,0 days 00:01:26.682000,SOFT,2.0,16.0
PER,62.0,0 days 00:01:31.661000,SOFT,3.0,16.0
PER,63.0,0 days 00:01:23.608000,SOFT,4.0,16.0
PER,64.0,0 days 00:01:21.255000,SOFT,5.0,16.0
PER,65.0,0 days 00:01:56.375000,SOFT,6.0,15.0
PER,66.0,0 days 00:01:45.310000,SOFT,7.0,15.0
PER,67.0,,SOFT,8.0,15.0
PER,68.0,0 days 00:02:29.156000,SOFT,7.0,15.0
PER,69.0,0 days 00:01:27.787000,SOFT,1.0,15.0
PER,70.0,0 days 00:02:24.525000,SOFT,2.0,15.0
PER,71.0,0 days 00:01:29.934000,SOFT,3.0,12.0
PER,72.0,0 days 00:01:20.966000,SOFT,4.0,12.0
PER,73.0,0 days 00:01:19.857000,SOFT,5.0,11.0
PER,74.0,0 days 00:01:17.518000,SOFT,6.0,11.0
PER,75.0,0 days 00:01:17.393000,SOFT,7.0,11.0
PER,76.0,0 days 00:01:17.117000,SOFT,8.0,11.0
PER,77.0,0 days 00:01:16.894000,SOFT,9.0,11.0
PER,78.0,0 days 00:01:16.891000,SOFT,10.0,11.0
ANT,1.0,0 days 00:01:22.525000,MEDIUM,1.0,1.0
ANT,2.0,0 days 00:01:17.653000,MEDIUM,2.0,1.0
ANT,3.0,0 days 00:01:16.996000,MEDIUM,3.0,1.0
ANT,4.0,0 days 00:01:17.048000,MEDIUM,4.0,1.0
ANT,5.0,0 days 00:01:16.661000,MEDIUM,5.0,1.0
ANT,6.0,0 days 00:01:16.723000,MEDIUM,6.0,1.0
ANT,7.0,0 days 00:01:16.050000,MEDIUM,7.0,1.0
ANT,8.0,0 days 00:01:16.284000,MEDIUM,8.0,1.0
ANT,9.0,0 days 00:01:16.298000,MEDIUM,9.0,1.0
ANT,10.0,0 days 00:01:17.067000,MEDIUM,10.0,1.0
ANT,11.0,0 days 00:01:18.223000,MEDIUM,11.0,1.0
ANT,12.0,0 days 00:01:17.430000,MEDIUM,12.0,1.0
ANT,13.0,0 days 00:01:17.313000,MEDIUM,13.0,1.0
ANT,14.0,0 days 00:01:17.222000,MEDIUM,14.0,1.0
ANT,15.0,0 days 00:01:17.193000,MEDIUM,15.0,1.0
ANT,16.0,0 days 00:01:17.240000,MEDIUM,16.0,1.0
ANT,17.0,0 days 00:01:17.050000,MEDIUM,17.0,1.0
ANT,18.0,0 days 00:01:16.802000,MEDIUM,18.0,1.0
ANT,19.0,0 days 00:01:16.061000,MEDIUM,19.0,1.0
ANT,20.0,0 days 00:01:16.468000,MEDIUM,20.0,1.0
ANT,21.0,0 days 00:01:16.650000,MEDIUM,21.0,1.0
ANT,22.0,0 days 00:01:16.369000,MEDIUM,22.0,1.0
ANT,23.0,0 days 00:01:16.538000,MEDIUM,23.0,1.0
ANT,24.0,0 days 00:01:16.669000,MEDIUM,24.0,1.0
ANT,25.0,0 days 00:01:16.888000,MEDIUM,25.0,1.0
ANT,26.0,0 days 00:01:16.964000,MEDIUM,26.0,1.0
ANT,27.0,0 days 00:01:17.290000,MEDIUM,27.0,1.0
ANT,28.0,0 days 00:01:16.644000,MEDIUM,28.0,1.0
ANT,29.0,0 days 00:01:16.957000,MEDIUM,29.0,1.0
ANT,30.0,0 days 00:01:16.838000,MEDIUM,30.0,1.0
ANT,31.0,0 days 00:01:16.617000,MEDIUM,31.0,1.0
ANT,32.0,0 days 00:01:16.788000,MEDIUM,32.0,1.0
ANT,33.0,0 days 00:01:16.862000,MEDIUM,33.0,1.0
ANT,34.0,0 days 00:01:17.201000,MEDIUM,34.0,1.0
ANT,35.0,0 days 00:01:16.191000,MEDIUM,35.0,1.0
ANT,36.0,0 days 00:01:16.356000,MEDIUM,36.0,1.0
ANT,37.0,0 days 00:01:33.595000,MEDIUM,37.0,1.0
ANT,38.0,0 days 00:01:22.214000,HARD,1.0,1.0
ANT,39.0,0 days 00:01:16.806000,HARD,2.0,1.0
ANT,40.0,0 days 00:01:16.757000,HARD,3.0,1.0
ANT,41.0,0 days 00:01:16.066000,HARD,4.0,1.0
ANT,42.0,0 days 00:01:16.342000,HARD,5.0,1.0
ANT,43.0,0 days 00:01:17.071000,HARD,6.0,1.0
ANT,44.0,0 days 00:01:15.716000,HARD,7.0,1.0
ANT,45.0,0 days 00:01:17.103000,HARD,8.0,1.0
ANT,46.0,0 days 00:01:16.976000,HARD,9.0,1.0
ANT,47.0,0 days 00:01:15.572000,HARD,10.0,1.0
ANT,48.0,0 days 00:01:16.247000,HARD,11.0,1.0
ANT,49.0,0 days 00:01:16.127000,HARD,12.0,1.0
ANT,50.0,0 days 00:01:16.858000,HARD,13.0,1.0
ANT,51.0,0 days 00:01:15.937000,HARD,14.0,1.0
ANT,52.0,0 days 00:01:16.218000,HARD,15.0,1.0
ANT,53.0,0 days 00:01:16.737000,HARD,16.0,1.0
ANT,54.0,0 days 00:01:15.889000,HARD,17.0,1.0
ANT,55.0,0 days 00:01:14.990000,HARD,18.0,1.0
ANT,56.0,0 days 00:01:15.302000,HARD,19.0,1.0
ANT,57.0,0 days 00:01:15.138000,HARD,20.0,1.0
ANT,58.0,0 days 00:01:15.812000,HARD,21.0,1.0
ANT,59.0,0 days 00:01:16.057000,HARD,22.0,1.0
ANT,60.0,0 days 00:01:22.472000,HARD,23.0,1.0
ANT,61.0,0 days 00:02:16.745000,HARD,24.0,1.0
ANT,62.0,0 days 00:02:00.361000,SOFT,5.0,1.0
ANT,63.0,0 days 00:02:00.412000,SOFT,6.0,1.0
ANT,64.0,0 days 00:02:12.838000,SOFT,7.0,1.0
ANT,65.0,0 days 00:01:59.223000,SOFT,8.0,1.0
ANT,66.0,0 days 00:01:51.182000,SOFT,9.0,1.0
ANT,67.0,0 days 00:01:45.482000,SOFT,10.0,1.0
ANT,68.0,,SOFT,11.0,1.0
ANT,69.0,0 days 00:01:43.473000,SOFT,5.0,1.0
ANT,70.0,,SOFT,6.0,1.0
ANT,71.0,0 days 00:01:20.271000,SOFT,7.0,1.0
ANT,72.0,0 days 00:01:15.737000,SOFT,8.0,1.0
ANT,73.0,0 days 00:01:14.585000,SOFT,9.0,1.0
ANT,74.0,0 days 00:01:13.958000,SOFT,10.0,1.0
ANT,75.0,0 days 00:01:14.008000,SOFT,11.0,1.0
ANT,76.0,0 days 00:01:13.481000,SOFT,12.0,1.0
ANT,77.0,0 days 00:01:13.728000,SOFT,13.0,1.0
ANT,78.0,0 days 00:01:15.614000,SOFT,14.0,1.0
ALO,1.0,0 days 00:01:37.265000,MEDIUM,1.0,17.0
ALO,2.0,0 days 00:01:22.343000,MEDIUM,2.0,17.0
ALO,3.0,0 days 00:01:39.049000,MEDIUM,3.0,18.0
ALO,4.0,0 days 00:01:23.312000,SOFT,1.0,18.0
ALO,5.0,0 days 00:01:20.326000,SOFT,2.0,17.0
ALO,6.0,0 days 00:01:19.772000,SOFT,3.0,17.0
ALO,7.0,0 days 00:01:19.160000,SOFT,4.0,17.0
ALO,8.0,0 days 00:01:19.213000,SOFT,5.0,17.0
ALO,9.0,0 days 00:01:19.431000,SOFT,6.0,16.0
ALO,10.0,0 days 00:01:19.993000,SOFT,7.0,16.0
ALO,11.0,0 days 00:01:19.595000,SOFT,8.0,16.0
ALO,12.0,0 days 00:01:19.031000,SOFT,9.0,16.0
ALO,13.0,0 days 00:01:19.032000,SOFT,10.0,16.0
ALO,14.0,0 days 00:01:19.338000,SOFT,11.0,16.0
ALO,15.0,0 days 00:01:19.415000,SOFT,12.0,16.0
ALO,16.0,0 days 00:01:20.915000,SOFT,13.0,16.0
ALO,17.0,0 days 00:01:21.520000,SOFT,14.0,16.0
ALO,18.0,0 days 00:01:20.779000,SOFT,15.0,16.0
ALO,19.0,0 days 00:01:19.936000,SOFT,16.0,16.0
ALO,20.0,0 days 00:01:19.287000,SOFT,17.0,16.0
ALO,21.0,0 days 00:01:19.246000,SOFT,18.0,16.0
ALO,22.0,0 days 00:01:19.169000,SOFT,19.0,16.0
ALO,23.0,0 days 00:01:19.157000,SOFT,20.0,16.0
ALO,24.0,0 days 00:01:19.072000,SOFT,21.0,16.0
ALO,25.0,0 days 00:01:19.017000,SOFT,22.0,16.0
ALO,26.0,0 days 00:01:18.881000,SOFT,23.0,16.0
ALO,27.0,0 days 00:01:19.287000,SOFT,24.0,16.0
ALO,28.0,0 days 00:01:19.172000,SOFT,25.0,16.0
ALO,29.0,0 days 00:01:19.251000,SOFT,26.0,16.0
ALO,30.0,0 days 00:01:19.230000,SOFT,27.0,16.0
ALO,31.0,0 days 00:01:19.014000,SOFT,28.0,16.0
ALO,32.0,0 days 00:01:18.798000,SOFT,29.0,16.0
ALO,33.0,0 days 00:01:18.696000,SOFT,30.0,16.0
ALO,34.0,0 days 00:01:18.754000,SOFT,31.0,16.0
ALO,35.0,0 days 00:01:19.137000,SOFT,32.0,16.0
ALO,36.0,0 days 00:01:18.911000,SOFT,33.0,16.0
ALO,37.0,0 days 00:01:19.010000,SOFT,34.0,16.0
ALO,38.0,0 days 00:01:18.898000,SOFT,35.0,16.0
ALO,39.0,0 days 00:01:18.896000,SOFT,36.0,16.0
ALO,40.0,0 days 00:01:19.020000,SOFT,37.0,16.0
ALO,41.0,0 days 00:01:19.215000,SOFT,38.0,16.0
ALO,42.0,0 days 00:01:19.414000,SOFT,39.0,16.0
ALO,43.0,0 days 00:01:19.699000,SOFT,40.0,16.0
ALO,44.0,0 days 00:01:19.618000,SOFT,41.0,16.0
ALO,45.0,0 days 00:01:19.913000,SOFT,42.0,15.0
ALO,46.0,0 days 00:01:20.144000,SOFT,43.0,15.0
ALO,47.0,0 days 00:01:21.262000,SOFT,44.0,15.0
ALO,48.0,0 days 00:01:21.050000,SOFT,45.0,15.0
ALO,49.0,0 days 00:01:21.640000,SOFT,46.0,15.0
ALO,50.0,0 days 00:01:20.924000,SOFT,47.0,15.0
ALO,51.0,0 days 00:01:21.245000,SOFT,48.0,15.0
ALO,52.0,0 days 00:01:19.528000,SOFT,49.0,15.0
ALO,53.0,0 days 00:01:19.985000,SOFT,50.0,15.0
ALO,54.0,0 days 00:01:19.720000,SOFT,51.0,15.0
ALO,55.0,0 days 00:01:20.968000,SOFT,52.0,15.0
ALO,56.0,0 days 00:01:22.466000,SOFT,53.0,15.0
ALO,57.0,0 days 00:01:19.628000,SOFT,54.0,15.0
ALO,58.0,0 days 00:01:55.284000,SOFT,55.0,15.0
ALO,59.0,0 days 00:01:53.313000,SOFT,1.0,15.0
ALO,60.0,0 days 00:01:32.376000,SOFT,2.0,15.0
ALO,61.0,0 days 00:01:50.181000,SOFT,3.0,15.0
ALO,62.0,0 days 00:01:33.687000,SOFT,4.0,15.0
ALO,63.0,0 days 00:01:23.982000,SOFT,5.0,15.0
ALO,64.0,0 days 00:01:22.122000,SOFT,6.0,15.0
ALO,65.0,0 days 00:01:55.551000,SOFT,7.0,14.0
ALO,66.0,0 days 00:01:46.295000,SOFT,8.0,14.0
ALO,67.0,,SOFT,9.0,14.0
ALO,68.0,,SOFT,9.0,14.0
ALO,69.0,0 days 00:01:29.317000,SOFT,9.0,14.0
ALO,70.0,0 days 00:02:25.293000,SOFT,10.0,14.0
ALO,71.0,0 days 00:01:30.552000,SOFT,11.0,13.0
ALO,72.0,0 days 00:01:20.898000,SOFT,12.0,13.0
ALO,73.0,0 days 00:01:20.150000,SOFT,13.0,12.0
ALO,74.0,0 days 00:01:18.301000,SOFT,14.0,12.0
ALO,75.0,0 days 00:01:18.056000,SOFT,15.0,12.0
ALO,76.0,0 days 00:01:17.276000,SOFT,16.0,12.0
ALO,77.0,0 days 00:01:17.120000,SOFT,17.0,12.0
ALO,78.0,0 days 00:01:17.140000,SOFT,18.0,12.0
LEC,1.0,0 days 00:01:25.514000,MEDIUM,1.0,3.0
LEC,2.0,0 days 00:01:18.553000,MEDIUM,2.0,3.0
LEC,3.0,0 days 00:01:17.793000,MEDIUM,3.0,3.0
LEC,4.0,0 days 00:01:17.470000,MEDIUM,4.0,3.0
LEC,5.0,0 days 00:01:17.655000,MEDIUM,5.0,3.0
LEC,6.0,0 days 00:01:17.740000,MEDIUM,6.0,3.0
LEC,7.0,0 days 00:01:17.338000,MEDIUM,7.0,3.0
LEC,8.0,0 days 00:01:16.909000,MEDIUM,8.0,3.0
LEC,9.0,0 days 00:01:17.188000,MEDIUM,9.0,3.0
LEC,10.0,0 days 00:01:16.840000,MEDIUM,10.0,3.0
LEC,11.0,0 days 00:01:17.013000,MEDIUM,11.0,3.0
LEC,12.0,0 days 00:01:17.560000,MEDIUM,12.0,3.0
LEC,13.0,0 days 00:01:17.081000,MEDIUM,13.0,3.0
LEC,14.0,0 days 00:01:17.156000,MEDIUM,14.0,3.0
LEC,15.0,0 days 00:01:17.313000,MEDIUM,15.0,3.0
LEC,16.0,0 days 00:01:17.015000,MEDIUM,16.0,3.0
LEC,17.0,0 days 00:01:17.688000,MEDIUM,17.0,3.0
LEC,18.0,0 days 00:01:17.363000,MEDIUM,18.0,3.0
LEC,19.0,0 days 00:01:17.698000,MEDIUM,19.0,3.0
LEC,20.0,0 days 00:01:17.219000,MEDIUM,20.0,3.0
LEC,21.0,0 days 00:01:16.881000,MEDIUM,21.0,3.0
LEC,22.0,0 days 00:01:16.971000,MEDIUM,22.0,3.0
LEC,23.0,0 days 00:01:17.884000,MEDIUM,23.0,3.0
LEC,24.0,0 days 00:01:16.955000,MEDIUM,24.0,3.0
LEC,25.0,0 days 00:01:16.983000,MEDIUM,25.0,3.0
LEC,26.0,0 days 00:01:17.021000,MEDIUM,26.0,3.0
LEC,27.0,0 days 00:01:17.168000,MEDIUM,27.0,3.0
LEC,28.0,0 days 00:01:17.572000,MEDIUM,28.0,2.0
LEC,29.0,0 days 00:01:17.188000,MEDIUM,29.0,2.0
LEC,30.0,0 days 00:01:17.070000,MEDIUM,30.0,2.0
LEC,31.0,0 days 00:01:17.579000,MEDIUM,31.0,2.0
LEC,32.0,0 days 00:01:17.919000,MEDIUM,32.0,2.0
LEC,33.0,0 days 00:01:17.666000,MEDIUM,33.0,2.0
LEC,34.0,0 days 00:01:17.907000,MEDIUM,34.0,2.0
LEC,35.0,0 days 00:01:36.500000,MEDIUM,35.0,3.0
LEC,36.0,0 days 00:01:23.426000,HARD,1.0,3.0
LEC,37.0,0 days 00:01:17.652000,HARD,2.0,3.0
LEC,38.0,0 days 00:01:16.872000,HARD,3.0,3.0
LEC,39.0,0 days 00:01:16.569000,HARD,4.0,3.0
LEC,40.0,0 days 00:01:16.564000,HARD,5.0,3.0
LEC,41.0,0 days 00:01:17.872000,HARD,6.0,3.0
LEC,42.0,0 days 00:01:17.536000,HARD,7.0,3.0
LEC,43.0,0 days 00:01:16.574000,HARD,8.0,3.0
LEC,44.0,0 days 00:01:16.345000,HARD,9.0,3.0
LEC,45.0,0 days 00:01:16.538000,HARD,10.0,3.0
LEC,46.0,0 days 00:01:16.271000,HARD,11.0,3.0
LEC,47.0,0 days 00:01:16.037000,HARD,12.0,3.0
LEC,48.0,0 days 00:01:16.217000,HARD,13.0,3.0
